title,album,release_year,lyrics
эдельвейс,геометрия тьмы,2022,Кукукуку Не сгори не околей Вся кукукуха моя песенкою лейся Пока ещё в графине эдельвейс во мне дрожь и груша сердца Погодя вотвот пустится в драмнбейс пустится в драмнбейс А я решил по сумасшествию Мне бы отдохнуть и может быть попутешествовать Вот в Афины или Барсу А я сижу на лавке и пью пиво в ожидании катарсиса Ах какая Барса бля нечя делать в Греции Остаться куда лучше хоть и Питер чай не Франция хаптьфу Я чую русским языком металл и серу Гонит воздух но я радуюсь что CocaCola Zero Всё ещё такая же вкусная как вчера Всё это потoму что ещё кроме прочих та Меня не стало как гаранта индикатор наконец И если кола не такая как вчера значит миру пришёл пиздец хахаха Не сгори не околей Вся кукукуха моя песeнкою лейся Пока ещё в графине эдельвейс во мне дрожь и груша сердца Погодя вотвот пустится в драмнбейс пустится в драмнбейс Не сгори не околей Вся кукукуха моя песeнкою лейся Пока ещё в графине эдельвейс во мне дрожь и груша сердца Погодя вотвот пустится в драмнбейс пустится в драмнбейс Дорогая плети колечко Сгорая с неба сорвётся пятиконечник Лети за ним ты вослед и воспламенись Он задуман как подобие но только вот слеплен на отъебись Спета песня я после вас И даже коль по букве бы раздать их всему миру останется про запас Кому семья кому карьера и монетки А мне важно лишь одно остальное всё проблема вагонетки И того кто будет дёргать за рычаг И мне насрать о чём на рельсах перепугано кричат Зато каждой паре тварь а как на сотни тысяч тёмных дураков Так Бог на всех сука бля дал один фонарик сука Ничё не знаю бля свети себе сама А я пятый год пытаюсь не сойти с ума И кроме вопля боли ужаса отчаяния Мне кажется что в общемто отлично получается Снова я блюю а позже я блюю снова Ах просто не ебаться как же я люблю слова Леплю слово язык не сможет меня взять так на слабо И не мечтать И коль захочется буду свой рэп мычать атьать Вытираю пот с лица Верю что смогу всё пережить опять и как всегда не ёбнуться Песня моя лейся Тем более раз выжить вышло даже у какогото цветочка эдельвейса Не сгори не околей Вся кукукуха моя песенкою лейся Пока ещё в графине эдельвейс во мне дрожь и груша сердца Погодя вотвот пустится в драмнбейс пустится в драмнбейс Не сгори не околей Вся кукукуха моя песeнкою лейся Пока ещё в графине эдельвейс во мне дрожь и груша сердца Погодя вотвот пустится в драмнбейс пустится в драмнбейс Не сгори не околей Вся кукукуха моя песeнкою лейся Пока ещё в графине эдельвейс во мне дрожь и груша сердца Погодя вотвот пустится в драмнбейс пустится в драмнбейс Не сгори не околей Вся кукукуха моя песeнкою лейся Пока ещё в графине эдельвейс во мне дрожь и груша сердца Погодя вотвот пустится в драмнбейс чё Не сгори не околей Вся кукукуха моя песeнкою лейся Пока ещё в графине эдельвейс во мне дрожь и груша сердца Погодя вотвот пустится в драмнбейс
диско элизиум,диско элизиум,2022,Меня сдавит в пружину Если ладан прям перед тобою просто не дыши И скажи мне не прав я что ли Мы вернёмся однажды в свободный город Ревашоль и наведём суеты Диско инферно Диско элизиум диско бессмертно Диско посмертия дико как ось Я вращаюсь ломая берцовую кость А верность она как травка солодки И хрупкая вечность пахнет селёдкой И дружба селитрой и наш обострён нюх А любовь пахнет нашатырём Андрюх не грусти на нюх она та ещё Неприятна зато отрезвляющая Извращающе непрощающая Удушающе вдохновляющая Ощущается как монополия Всепрощающая моя боль и я Не любим но как будто зависим И всё падаю в диско элизиум Ощущается как монополия Всепрощающая моя боль и я Не любим но как будто зависим И всё падаю в диско элизиум Дискотека дискошар Диск луныредиски пожар В язык попадись ему Запылает под музыку диско мой диско элизиум Дискотека дискошар Диск луныредиски пожар В язык попадись ему Запылает под музыку диско наш диско элизиум Как не ругать небосвод отрекаться& Клетка реальна свобода абстракция Боль неизбежна страдание выбор Любовь безутешна я себя бы выпорол Образцово Не видать мне счастья простого Человеческого так и быть У искусства большая цена её надо платить А оно того стоит Не знаю То бишь значит не знаю как может иначе быть Почеловечески чтоб и за тексты Я плачу дорого с самого детства Это от Дьявола или от Бога Это не выбор и не дорога Привычная боль с ней тексты и пение Безусловны как сердцебиение Ощущается как монополия Всепрощающая моя боль и я Не любим но как будто зависим И всё падаю в диско элизиум Ощущается как монополия Всепрощающая моя боль и я Не любим но как будто зависим И всё падаю в диско элизиум Ощущается как монополия Всепрощающая моя боль и я Не любим но как будто зависим И всё падаю в диско элизиум Ощущается как монополия Всепрощающая моя боль и я Не любим но как будто зависим И всё падаю в диско элизиум Дискотека дискошар Диск луныредиски пожар В язык попадись ему Запылает под музыку диско мой диско элизиум Дискотека дискошар Диск луныредиски пожар В язык попадись ему Запылает под музыку диско наш диско элизиум диско элизиум
нежное электричество,геометрия тьмы,2022,У всех вокруг паралич Тлея в её ладони ждёт вдоха Aroma Rich Комната заливается хохотом гомерическим В проводе льётся похоть и нежное электричество В ресницах мог Между искрится ток и как прежде её величество И после тебя повсюду пепелище коль ты неистово хороша И вид на все две тыщи вольт Мы не виделись тыщу лет Помню как оседлав грозу Девчонка сидя на молнии тянет луны косу Но мы оба уже не те и сменили давно по царству Нейлон на металл и с ними романтику на коварство Но я уж давно привык что тёплый холодный свет Звучащий в полтона запах солёный невкусный цвет Смердящее прикасание блядское платоничество Вода грубая нежное электричество Всё наше прежнее смежное и практически Бьёт меня её нежноенежное электричество Какнибудь мы замкнёмся конечно и всё внутри чисто Если теоретически нежное электричество убьёт нас Всё наше прежнее смежное и практически Бьёт меня её нежноенежное электричество Какнибудь мы замкнёмся конечно и всё внутри чисто Если теоретически нежное электричество убьёт нас Буря не спешит безмолвие Эхо загудит и за окном пушится молния Слепясь в комочек ток слепясь в комочек ток Комочек станет в будущем грозой могучей Ток пронзающий облака и пока ещё во благое Пугающий но пока угрожающий не такой А нависшая радуга огибает земли покров И там где электродуга уродится дитя ветров И меж нами пробил разряд Хм разряд дваряд триряд Пускай полностью сгорят пусть горят И до комы мне знакомое прежде уже внутри чувство Я помню это нежноенежное электричество Всё наше прежнее смежное и практически Бьёт меня её нежноенежное электричество Какнибудь мы замкнёмся конечно и всё внутри чисто Если теоретически нежное электричество убьёт нас Всё наше прежнее смежное и практически Бьёт меня её нежноенежное электричество Какнибудь мы замкнёмся конечно и всё внутри чисто Если теоретически нежное электричество убьёт нас Нежное нежное Нежное нежное Убьёт нас убьёт нас Нежноенежное Нежноенежное Убьёт нас
ветрянка,геометрия тьмы,2022,Ты сидишь на окне ноги свесила вниз И весело в лист уперев карандаш Аж так что насквозь Я бегу за тобой на последний этаж И нас косит по мартовским дням как котят Не то чтобы прям тяготят эти пляски Но пару секунд погодя Я срываюсь к тебе ну а ты как обычно потрясна Я в тряске потрескал стеклянное облако Будто бы лампочка лопнуло лампочка лопнула Сменя свои облики Падали прямо на лоб было Падали звёзды и в глаз в твоём омуте зыбь Но на небе не звёзды а сыпь То бишь звёзды ветрянка И на лбу теперь сто дыр и ямка Наивные фразы ребёнка И песенка та же всё прям как В тот день я мажу зелёнку нана ветрянку нана ветрянку Зелёнкою нана ветрянку Зараза от первой любви Раночка вновь не болиииии Курю в темпе окурок тушу Поднимается температура температура И в груди такой жар что клубится у стен пар а дура Дуралуна лезет в прямо окно как из пряника но Всё приехали брежу Жёлтая рожа жирная туча Возьмука я ножик и брюхо порежу пузатому небу Мирных атомов нет но и мира без атома нету Без войны нету песни никак И увы нет любви без болезни Мне эта ветрянка как ночному дозору воронка И коль на вопрос Когда встретимся вновь Ты не смог дать ей чёткий ответ никогда То учись у ворон каркар never more Наивные фразы ребёнка И песенка та же всё прям как В тот день я мажу зелёнку нана ветрянку нана ветрянку Зелёнкою нана ветрянку Зараза от первой любви Раночка вновь не болиииии Наивные фразы ребёнка И песенка та же всё прям как В тот день я мажу зелёнку нана ветрянку нана ветрянку Зелёнкою нана ветрянку Зараза от первой любви Раночка вновь не болиииии Наивные фразы ребёнка И песенка та же всё прям как В тот день я мажу зелёнку нана ветрянку нана ветрянку Зелёнкою нана ветрянку Зараза от первой любви Раночка вновь не болиииии
Помогите Элли,Помогите Элли,2018,И Элли возвратится И Элли возвратится И Элли возвратится Домой домой домой домой домой В мире том где есть дом до родного далеко А там и близко никакого в другом Ищу вход до сих пор; и я прошу Скорей открой врата в свой Изумрудный Город В мире том где есть дом до родного далеко А там и близко никакого в другом Ищу вход до сих пор; и я прошу Скорей открой врата в свой Изумрудный Город Мир не злой просто под ложкой накипело Себя сложно удержать когда ладошка онемела Эй Подскажите возникла одна проблема Мы все ждём вот только Элли не может найти где вена Всё серьезно или всё же поприколу Задача не из простых и мы так же ломаем голову ай Принесите на подпись кипу бумаг И волшебника вместо явится в белом халате маг А ты кто такой Ты что потвоему доктор Ошибки опыта не лечит водка а что потом И замок на двери к счастью ковыряю штопором как дурак И до сих пор пытаюсь но так не работает И я топаю путями психотропами Вотвот сойду с ума по ним и так же не сбавляю обороты Стены давят будто в пасти у дракона Я прошу скорей открой врата в свой Изумрудный Город В мире том где есть дом до родного далеко А там и близко никакого в другом Ищу вход до сих пор; и я прошу Скорей открой врата в свой Изумрудный Город В мире том где есть дом до родного далеко А там и близко никакого в другом Ищу вход до сих пор; и я прошу Скорей открой врата в свой Изумрудный Город Семья это важно Не говорите В одной комнате со страхом всё детство учиться жить И в конце концов Принимать свои комплексы как родителей Приказано любить но любить это отвратительно Внутри заперто Рву концы Хотя может быть там душа и там может растут цветы Но ты взрослая Элли и выбрать давно пора Тебе всё вырвать из себя или вырвать себе на платье И как никак на войне с собой везде одна простая тактика Всё пихать в себя пока не перестанет брать тебя Но это тоже не помогло б ни на йоту Коль даже наркотики не работают Но всё закономерно задача не из лёгких А ты и вовсе не лучший пример но Сердца всё же требуют перемен И ждём все мы но Элли снова мажет мимо вены Ха В мире том где есть дом до родного далеко А там и близко никакого в другом Ищу вход до сих пор; и я прошу Скорей открой врата в свой Изумрудный Город В мире том где есть дом до родного далеко А там и близко никакого в другом Ищу вход до сих пор; и я прошу Скорей открой врата в свой Изумрудный Город В мире том где есть дом до родного далеко А там и близко никакого в другом Ищу вход до сих пор; и я прошу Скорей открой врата в свой Изумрудный Город В мире том где есть дом до родного далеко А там и близко никакого в другом Ищу вход до сих пор; и я прошу Скорей открой врата в свой Изумрудный Город
что отличает птицу от летучей мыши,геометрия тьмы,2022,Как ни летай тучи выше Что отличает птицу от летучей мыши И хоть крылья разные у них окажется Нету разницы ведь цель одна и та же Давно помню на крыше моей жили летучие мыши Жили там пару лет Но чердак давно уже пустой и там никого нет И я по ним случается скучаю Но делать нечего и я жму плечами Их нет за это некого ругать И на крыше одиноко но зато никто не гадит Да лучше б гадили не велика цена Они такие мне родные были Сердце пацана не вынесет всю эту ностальгию Но либо мы уходим сами либо нас покинут Исход один но всё же не об этом речь и Дерьмо случается расстраиваться нечего уу И я кидаю все несказанное в печку уу В напоминание того что всё конечно уу Mi scusi мадам Я собрать был бы рад чемодан Да и вы как хотели Отпустили Mi scusi мон мадмуазель и yу Мi scusi мадам yу Я собрать был бы рад чемодан Да и вы как хотели Отпустили Mi scusi мон мадмуазель и Я склонюсь над рекою как ива И уж если грустить то красиво И пусть если обида то детская Коль тоска то пускай только светская Для нас нет в мире тайн И если sadness то только summertime И в жизни нету места для игр Лишь боль но от боли страдать или нет это выбор Как ни летай тучи выше Что отличает птицу от летучей мыши И хоть крылья разные у них окажется Нету разницы ведь цель одна и та же Как ни летай тучи выше И что отличает птицу от летучей мыши И хоть крылья разные у них окажется Нету разницы ведь цель одна и та же
Стерильные чувства,CARNIVAL DRAGON,2018,Дурочка лезет целоваться Но у меня бритва под языком для неё Так сложно остаться верным замыслу Когда все вокруг хотят чегото другого другого Три цифры на пейджер и я голый Стерильные чувства металл в горле Я перегорел о чём ты думала так долго И мы смотрели друг на друга только в перекрестие прицела Лаконично как хокку Я верю это не сердце это гдето в подкорке мозга Этот взгляд такой тёплый родной добрый Я знаю что видит жертва в глазах кобры Вечеринка подходит к концу И сегодня я пью один сегодня я сплю один А внутри всё горит Словно китайские красные шелковые фонари Она всегда выбирала себе холодных мужчин За постой выбирала бестолковых мужчин Планетарий закрыт но проснулась луна Я шёл к тебе уже пьяным и неспособным любить Лезвие под языком растворилось как леденец Отыщем в пепле всё что потеряли в огне Вот знаешь что все уже кончено И ненавидишь суку но ебёшь её Не ищи меня там где стерильные чувства Не ищи меня там где смеются Не ищи меня там где мечты Где любовь и безумство сплелись в одно Там где стерильные чувства Не ищи меня там где смеются Не ищи меня там где мечты Где любовь и безумство сплелись в одно Любовь кристально чистая Чистая как кристаллы на стеклянном столике Тебе дарят числа намеки знаки и числа Но я взял тебя безналом оставшись тебе непонятым Как ёбаный тетрис я собираю по кускам Таких как ты в сплошное мировосприятие Плоская земля плоский юмор В прокуренном баре уже давным давно все за тебя придумал Смотри шаг первый я скажу как скучно жить И я давно не заводил в груди мотор А потом шаг второй ты скажешь что не помнишь ничего На этом весь наш полупьяный разговор А я никому не нужная война Я обращу всю боль в искусство устрою тут артобстрел Земля бы раскололась пополам Забвение с любовью отделяет лишь только один пробел Пробел меж твоим именем и точкой И проходит мимо в одиночной вечная зима Или лето погода не играет роли когда дома нет И будто ты с другой планеты И этот спектакль ироничен И я бессмысленно пытался воссоединить в объятиях Объективное сухое безразличие твоё И моё оценочное восприятие Не ищи меня там где стерильные чувства Не ищи меня там где смеются Не ищи меня там где мечты Где любовь и безумство сплелись в одно Там где стерильные чувства Не ищи меня там где смеются Не ищи меня там где мечты Где любовь и безумство сплелись в одно
Под каплями слёз,ВЕДЬМА,2023,Я не помню сколько раз я был предан И не важно будь то женщина мой друг или предок Исход один Это большой урок от жизни наверно Но я опять прослушал то Что говорил мне мой препод Может поэтому Я слепо наступаю на грабли И притворяюсь до сих пор что мне не больно ни капли Только внутри Во мне абсолютно нет позитива Я улыбаюсь изза боли что так мучает сильно Так что прости Меня действительно уже не исправить Но я нормален если посмотреть моими глазами Если узнать изза чего меня так мучает стыд Изза чего я обрывая след сжигаю мосты Знать сколько слез мной было пролито Сколько историй моих с кольцом то как у хобита То с грустным концом прямо как у обито Будь ты проклята Я живой но после всего что между нами было Больше не бьется сердце моё Я повесил на сердце замок И выкинул от него кудато ключи Их уже никто не найдёт Они глубоко под каплями слёз Я повесил на сердце замок И выкинул от него кудато ключи Их уже никто не найдёт Они гдето под каплями слёз Я повесил на сердце замок И выкинул от него кудато ключи Их уже никто не найдёт Они глубоко под каплями слёз Я повесил на сердце замок И выкинул от него кудато ключи Их уже никто не найдёт Они гдето под каплями слёз Я повесил на сердце замок И выкинул от него кудато ключи И почти без моих интенций Само по себе както все вышло кричи На весь район и на весь квартал На весь наш город и на всю страну И если б я мог я б мигом сверстал Не без задора как в старину Кино о нас и тд чб И тут у нас вокруг зпт чп Но лишь бы не тчк Любовь опасна как чвк И тогда когда как сурка день Надо брать быка за рога Где нету нас Там смерти нет но тает время будто сорбет Я повесил на сердце замок И выкинул от него кудато ключи Их уже никто не найдёт Они глубоко под каплями слёз Я повесил на сердце замок И выкинул от него кудато ключи Их уже никто не найдёт Они гдето под каплями слёз Я повесил на сердце замок И выкинул от него кудато ключи Их уже никто не найдёт Они глубоко под каплями слёз Я повесил на сердце замок И выкинул от него кудато ключи Их уже никто не найдёт Они гдето под каплями слёз
Kerrigan,Терновый венец эволюции,2017,В тексте опять опечатка И грязные руки не спрятать перчатками Время уходит и часики мчат Они тихо стучат и я чувствую чакрами Как Как падший король на мне тысячи глаз и я чувствую рой их Всю боль я спою и охватит истерика В холоде вечности ждёт моя Керриган Как я не умер Не берут не кинжалы ни пули Что ни день то прикол И ни дом то притон И всё сводится в ёбаный улей И мы крутимся как балисонг Катимся вниз колесом как дыма кольцом Глаза мне затмил горизонт Но сердце всё видит как Comme des Garçons Они нас не простят И плевать я опять хочу видеть твой взгляд Я молю Повернись ко мне передом Я скучал обними меня Керриган Обними Я смотрю на тебя из под купола Я играю с тобой моя куколка Моя бабочка пьющая кровь И нас глупо так в сеть паутины запутало Кажется что ты мне хочешь скорей показать нечто страшное На тысячи осколков стекло перебил Но теперь ты лишь смотришь из каждого И нет тормозов и нет меры и руки трясёт мне то холод то тремор алё Ты мой джанк мой неоновый демон И чувствую рой каждой клеточкой тела С ней связан посмертно и чтоб разделить свои страхи хоть с кемто Я честно не вру дабы всем доказать Неуверенно тыкаю пальчиком в зеркало Эти люди не верят нам обними меня вновь моя Керриган Обвини меня в смертных грехах это не просто игра и надежда потеряна Мой единственный джанк это Керриган В моём сердце пожар это Керриган Мой последний кошмар это Керриган Тебе не удержать моя Керриган Мой единственный джанк это Керриган В моём сердце пожар это Керриган Мой последний кошмар это Керриган Выйди из зеркала Керриган Мой единственный джанк это Керриган В моём сердце пожар это Керриган Мой последний кошмар это Керриган Тебе не удержать моя Керриган Мой единственный джанк это Керриган В моём сердце пожар это Керриган Мой последний кошмар это Керриган Выйди из зеркала Керриган Осталось лишь несколько тезисов Дёрнуть себя на петле гистерезиса Пара таблеток да небо по лесенке Но принёс только что больше не лезет никак Каждый день как дубликат Каждый день дарит подарки Каждый демон мой был бы рад это ад Я тону и мой брат это мой доппельгангер слышишь а Туктук это не сон Кто это там за стеклом Мама мне страшно я болен Наверное ещё один шаг она выйдет из зеркала Я не готов Меня гипнотизирует в зеркале твой демонический взгляд Это игра я на грани провала Но всё же борюсь но практически зря Протокол активирован Я ищу в себе те рычажки чтобы выключить мозг и себя ликвидировать Я бегу я у края почти ищу доступ к тебе Но замок закодирован Я допирую в грязную кровь твои чёрные слёзы Целый мир это галлюцинация и мы никак не вывозим Я открыл восприятия двери Я знаю ты смотришь за мной я уверен Ещё один шаг и начнётся истерика Хватит Выйди из зеркала Керриган Мой единственный джанк это Керриган В моём сердце пожар это Керриган Мой последний кошмар это Керриган Тебе не удержать моя Керриган Мой единственный джанк это Керриган В моём сердце пожар это Керриган Мой последний кошмар это Керриган Выйди из зеркала Керриган Мой единственный джанк это Керриган В моём сердце пожар это Керриган Мой последний кошмар это Керриган Тебе не удержать моя Керриган Мой единственный джанк это Керриган В моём сердце пожар это Керриган Мой последний кошмар это Керриган Выйди из зеркала Керриган
Ганфайтер,акустический,2019,Скитаясь от штата до штата Бегу от судьбы через весь дикий запад Бегу от закона по следу картель И ковбой придержи лошадей я спешу Судьбу обмануть будет сложно И золото блеф каждый третий картёжник И пойми кому страх не знаком Тому бог не судья и шериф не закон И умер твой ангелхранитель Бегу от Миссури к реке Миссисипи Бегу за тобой через сотни дорог В этой пустоши я самый лучший стрелок а не ты И границы все стёрты Я демон я мститель я быстрый ты мёртвый Живая легенда все в сторону знайте Идёт одинокий ганфайтер Над палящим огнём аризонской пустыни Каньон облетал зоркоглазый орёл Револьвер у виска моё сердце остынет И в полдень ты вспомнишь как я был влюблён И как болен как был болен Теперь будто перекатиполе свободен на воле Только кроме я один как перекатиполе Нo не забывай меня я прошу Только не забывай меня умоляю Лишь не забывай меня я прошу Только не забывай меня Не забывай меня я прошу Только не забывай меня умоляю Лишь не забывай меня я прошу Только не забывай меня Ни пули ни нож не преграда Сам дьявол боится идёт desperado Не ел ничего только виски глоток И сокол кричит и на взводе курок я готов На кону всё теперь На пустырь два бойца ровно в полдень дуэль С одной стороны кружат в воздухе грифы С другой его дама что стала шерифом Нам время с тобой засекут И рука револьвер один взгляд полсекунды Лишь десять шагов всё закончится быстро И есть один шанс один взгляд один выстрел и бам Миротворец горит поцелуй перешлёт 45 калибр И лишь один шанс один выстрел и далее Оба без жизни упали Над палящим огнём аризонской пустыни Каньон облетал зоркоглазый орёл Револьвер у виска моё сердце остынет И в полдень ты вспомнишь как я был влюблён И как болен как был болен Теперь будто перекатиполе свободен на воле Только кроме я один как перекатиполе Но не забывай меня я прошу Только не забывай меня умоляю Лишь не забывай меня я прошу Только не забывай меня Не забывай меня я прошу Только не забывай меня умоляю Лишь не забывай меня я прошу Только не забывай меня Над горящим огнём аризонской пустыни Каньон облетал зоркоглазый орёл Револьвер у виска моё сердце остынет И в полдень ты вспомнишь как я был влюблён И как болен как был болен Теперь будто перекатиполе свободен на воле Только кроме я мёртв как перекатиполе Но не забывай меня я прошу Только не забывай меня умоляю Лишь не забывай меня я прошу Только не забывай меня Не забывай меня я прошу Только не забывай меня умоляю Лишь не забывай меня Не забывай меня
Девочка из Кони-Айленд,Eclipse,2016,20 лет но мы ведём себя как дети В этот тёплый летний вечер я шагаю с алкотеки В этот тёплый летний вечер ты накрасив свои губы Будто рокзвезда на улице жевала Хубабубу И тогда сошла с орбиты планета; И я украл у тебя сердце ограбление века С тобою все мы покорим готов поклясться на крови Моя родная давай трахнем этот мир Трахнем этот мир Ты моя Эми Вайнхаус Я твой Кобейн Я Джимми Хендрикс Ты как Лана Дел Рей Это наш пламенный Рейв и ты до дна все допей Мы тусим пьяные как Оззи Осборн; И мы опаснее чем Коза Ностра Такая жизнь наш стиль но мы все равно В конце умрем красиво быстро и вдвоем Как в Голливудских фильмах И вся планета под ногами Мы герои киноленты; И в объектах фотокамер щёлк Щёлк И стреляй в мое сердце родная Мы пьяны; и я опять умираю Радиоволнами высоких частот И мы любим друг друга ровно 12 часов; И все И мы оставим то что было тайне девочка из КониАйленд Пей со мной и улетай как лайнер девочка из кони Айленд И мы оставим то что было тайне девочка из КониАйленд Пей со мной и улетай как лайнер девочка из кони Айленд И мы оставим то что было тайне девочка из КониАйленд Пей со мной и улетай как лайнер девочка из кони Айленд И мы оставим то что было тайне девочка из КониАйленд Пей со мной и улетай как лайнер девочка из кони Айленд И мы трахнем мир да запросто поверь И нам не важно Crystal или Whiskey за пятьсот рублей Не важно где мы на квартире или в домике у берега Мы в космосе родная будто Джим и Сара Керриган Вино течёт на наши губы третий литр Я играю с тобой будто персонаж видеоигр Можно все и за бокалом тянешься очередным ты Мы король и Королева вечеринки И стреляй в мое сердце родная Мы пьяны; и я опять умираю Радиоволнами высоких частот И мы любим друг друга ровно 12 часов; И всё В моё сердце родная; Но что потом я не знаю Нынче все ни по чем Но что будет когда Кончатся двенадцать часов а Мы смотрим в небо этим тёплым летом Гдето встал рассвет и нам пора домой И прилетают вертолёты Двенадцать стукнет на часах проснемся мы И ты теперь меня не знаешь больше Я никак не вспомню кто ты И мы оставим то что было тайне девочка из КониАйленд Пей со мной и улетай как лайнер девочка из кони Айленд И мы оставим то что было тайне девочка из КониАйленд Пей со мной и улетай как лайнер девочка из кони Айленд И мы оставим то что было тайне девочка из КониАйленд Пей со мной и улетай как лайнер девочка из кони Айленд И мы оставим то что было тайне девочка из КониАйленд Пей со мной и улетай как лайнер девочка из кони Айленд И стреляй в мое сердце родная Мы пьяны; и я опять умираю Радиоволнами высоких частот И мы любим друг друга ровно 12 часов; И все В моё сердце родная; Но что потом я не знаю Нынче все ни по чем Но что будет когда Кончатся двенадцать часов а И стреляй в мое сердце родная Мы пьяны; и я опять умираю Радиоволнами высоких частот И мы любим друг друга ровно 12 часов; И все В моё сердце родная; Но что потом я не знаю Нынче все ни по чем Но что будет когда Кончатся двенадцать часов а
